"","Accession","Description","PSM","GeneID","SED_1","SED_2","SED_3","SED_4","SED_5","SED_6","SED_7","SED_8","EX_1","EX2","EX_3","EX_4","EX_5","EX_6","EX_7","EX_8"
"369","P61204","ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2",38,"ARF3",1285.1,1690.9,1464.3,2109.9,2310.5,2579.5,1210.4,2504.5,1318.4,945.4,687.7,1109.4,1237.3,1284.5,1394.1,895.3
"370","P37837","Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2",42,"TALDO1",1228,2204.6,2092,2371.3,2612.9,3133.5,1101.6,2651.8,2261.3,1208,1004.5,1109.6,1297.6,1387.3,1449.1,985.4
"371","Q01995","Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4",47,"TAGLN",944,858.7,891.6,1205.4,1291.9,1517,950.6,988.7,1115.8,615.6,713.5,1136.5,564.7,809.9,1468.8,781.6
"372","P04844","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3",24,"RPN2",411.6,705,508.1,580,692.7,556.5,498.7,715.1,499.5,362.8,270.8,465.1,313.7,442.6,510.6,384.5
"373","A0FGR8","Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1",28,"ESYT2",361.3,549.9,354.8,447.4,544,516,415.6,556.6,320.4,248.9,237,371.7,311.9,355.1,403.3,353.8
"374","P19105","Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2",39,"MYL12A",37.5,44,39.4,52.3,55.7,94.7,36.2,67.5,46.8,35.5,19.6,45.1,22.2,36,44.7,28.7
"375","O95831","Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",36,"AIFM1",432.1,881.2,587.1,648,695,553.4,431.9,653.8,777.2,453,446.5,482.7,294.6,531.7,537,425
"376","P36955","Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4",28,"SERPINF1",408.6,598.5,586.1,827.1,1079,952.7,517.6,767.1,506.9,338.6,358.2,588.5,356.3,678.6,560.7,353.3
"377","P56199","Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2",42,"ITGA1",381.6,568.8,318.9,433.3,488.2,437.4,472.2,738.4,415.2,347.9,227.2,409.8,340.4,427.7,436.7,416.3
"378","Q9HDC9","Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2",39,"APMAP",840.6,1753.4,1186.9,1358.3,1444.2,1383.2,1120.9,1775.4,1296.9,651.5,848.9,959.8,777.6,1027.3,1394.2,1045.5
"379","P63010","AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1",34,"AP2B1",881.6,1167.3,824,1429.9,1515.9,1427.4,787.1,1388.3,882.5,665.9,416.8,747.3,704.6,773.2,955.8,587.2
"380","O95865","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens OX=9606 GN=DDAH2 PE=1 SV=1",34,"DDAH2",829.7,1088.1,970.5,1024.8,1201.5,632,747.9,920.1,847.2,637.7,587,802.9,490.2,707.5,829.4,633.4
"381","Q04446","1,4-alpha-glucan-branching enzyme OS=Homo sapiens OX=9606 GN=GBE1 PE=1 SV=3",38,"GBE1",979.8,1503.3,1310.7,1523.8,2208,1127.1,1045.7,1399,1594.3,913.6,785.7,961.3,713.4,1148.8,1206.1,930.2
"382","P01011","Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2",44,"SERPINA3",809.2,1526.4,1447.2,2670.4,1901.2,2286.9,799.8,696.1,1153.6,860.3,617.2,761.5,664.3,729.9,772.6,602
"383","P62820","Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3",37,"RAB1A",1009.9,1409.8,1140.2,1379.9,1756.1,1363,948.6,1484.4,1237.3,802.8,616.9,1071.1,782.5,1028.8,1240.6,884.7
"384","Q99623","Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2",42,"PHB2",1118.7,2065,1507.3,1581.9,1863.5,1231.3,1279.8,1663.1,2161.8,1107.9,1102,1318.9,804.2,1375.3,1451.8,1116.2
"385","P31939","Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3",34,"ATIC",452,806.5,654,1295.2,1075.7,1787.3,296,1005.3,554,328,284.6,460,576.7,487.8,434.2,305.2
"386","O43399","Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2",35,"TPD52L2",706,933.3,753.8,822,1117.9,762.9,634.3,744,824.4,473.8,464.7,794.9,427.8,752.3,783.1,554.2
"387","P02511","Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2",88,"CRYAB",1769.8,1847.9,2432.1,3441.2,5419.9,2194.9,2263.7,2993.6,983.7,1420,787,1353.6,1450.4,3002.9,2097,1537.1
"388","P27338","Amine oxidase [flavin-containing] B OS=Homo sapiens OX=9606 GN=MAOB PE=1 SV=3",44,"MAOB",524.3,909.8,711.2,768.4,780.9,536.3,497.5,570,981.8,556.6,436.8,583.9,318.7,418.6,789.9,588.6
"389","Q96I99","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2",33,"SUCLG2",808,1895.4,1440.1,1324.9,1364.5,876.4,1112.3,1293.9,1941.9,946.2,965.7,927.2,552.5,1294.8,1052.6,904.8
"390","P35232","Prohibitin 1 OS=Homo sapiens OX=9606 GN=PHB1 PE=1 SV=1",37,"PHB1",603.8,1097.3,844,976.6,1102.1,1001.4,703.8,1050,1223.5,627.9,635.1,758.2,502.5,773.3,784.4,616.7
"391","P15559","NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1",45,"NQO1",1551.4,1154.2,1281.1,1651.8,3485.1,1449.2,1531.7,1899.7,1244.9,1544.6,407.8,2014.4,701,1442.7,2139.7,913.8
"392","Q9NR31","GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1",28,"SAR1A",823.4,1022.8,922.2,1146.3,1141.6,797.6,840,886.2,1125.5,726.9,591.2,904.1,558.7,664.4,850.7,657.8
"393","P55290","Cadherin-13 OS=Homo sapiens OX=9606 GN=CDH13 PE=1 SV=1",43,"CDH13",591,1475.6,685,614.7,947.1,585.3,650.1,1008.7,972.3,790.6,541.2,700.5,544.1,765.8,642.3,622.4
"394","P07203","Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4",40,"GPX1",1101,1148,854.1,1396.9,1248.9,1081.8,794.9,1327.4,1393.8,788.4,597.3,920.7,613.4,651.4,777.1,519.8
"395","Q16658","Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3",31,"FSCN1",498.4,660.2,571.3,605.5,641,683.9,457.8,606.7,613.6,380.1,340.5,483.7,341.2,519.2,540.4,426.6
"396","P12956","X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2",32,"XRCC6",780.3,1173.1,798,872.9,1103.3,959.4,847.4,1017.8,978.6,602.4,594.7,833.4,519.9,968.7,1056.9,806.5
"397","O00429","Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2",21,"DNM1L",129.7,180.3,154.2,187.5,195.7,222.1,118.2,202.2,179.7,115.5,95.6,137.9,107.6,119.7,142.4,88.8
"398","O00764","Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1",32,"PDXK",368.9,704.3,592.1,584.9,555.2,355.3,372.1,396,796.4,285.7,350.6,355.4,211.8,387.8,426.5,344.5
"399","Q14974","Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2",34,"KPNB1",553.7,790.2,630.9,899.5,893.2,1105.5,557,1027.7,693.9,399.4,348.1,495.8,519.7,580.8,593.3,412.5
"400","Q99714","3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3",22,"HSD17B10",214,347.4,243,276.2,286.2,192.6,193.9,239.2,242.9,183.6,152.5,197.6,132.9,209.5,265.2,171
"401","P19367","Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3",36,"HK1",420.5,741.2,476.8,577.6,984,719,516.5,1024.8,661.3,310.9,301.2,432.9,411.8,589,560.6,424.8
"402","P35241","Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1",44,"RDX",189.1,327.2,221.6,315.7,299.3,431.1,191.4,351.7,250.7,168.6,141,184.5,149.8,217,217.5,162.7
"403","P05455","Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2",31,"SSB",406.7,700.3,548.1,651.1,784.7,605.6,483.6,715.9,634.1,371.7,331.4,471.4,332.8,598,596,451.8
"404","P35998","26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3",28,"PSMC2",534.8,699.7,552.7,765.2,946.7,1021.8,530.3,920.9,673.3,369.9,320.4,510.4,467.1,568.3,589.4,389.7
"405","P07738","Bisphosphoglycerate mutase OS=Homo sapiens OX=9606 GN=BPGM PE=1 SV=2",49,"BPGM",422,543.5,662.2,1394.1,1355.8,2569.6,448.3,1555,463.9,303.1,302,359.2,777.2,434.3,355.9,215.6
"406","Q13561","Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4",27,"DCTN2",347.9,462.2,369.8,463.7,578.3,491.4,334.6,612.7,417,282.2,239.8,320.1,273.8,351.3,393.6,285.1
"407","P47756","F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=5",40,"CAPZB",899.6,1106.3,892.7,1277.3,1731.9,1506.6,813.8,1601,1078,643.6,547.1,854.1,704.5,907.9,988.3,698.7
"408","Q6XQN6","Nicotinate phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAPRT PE=1 SV=2",28,"NAPRT",209.7,370.8,286.4,548.2,518.1,847.1,143.7,492.5,335.1,98,132.5,189.7,222.4,189.8,149.9,114.1
"409","P28161","Glutathione S-transferase Mu 2 OS=Homo sapiens OX=9606 GN=GSTM2 PE=1 SV=2",30,"GSTM2",759.6,890.4,1329.4,1858.1,755.5,539.2,433.9,528.6,582.5,375.1,314.1,689.3,536.8,422.6,541.5,644.4
"410","Q03252","Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4",39,"LMNB2",659.6,1108.7,581,653.8,707.1,932.9,677.5,1321.1,365.8,459.5,671.1,871.5,357.7,827,860.3,718.9
"411","Q96QK1","Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2",34,"VPS35",565.9,893.9,813.6,967.3,959.2,677.4,453.8,758.2,660,508.9,334.9,563.5,449.1,550.2,651.2,438.4
"412","P09871","Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1",28,"C1S",365.1,457.8,479.5,849.3,764.1,915,352.6,796.2,400.3,311.3,190.7,312.6,359.1,351.6,377.6,261
"413","P05106","Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2",30,"ITGB3",320.3,168.4,154.2,317.2,662.9,1074.3,211.1,2279.6,217.5,283.6,79.7,191.6,343.1,129.8,208.6,57
"414","P06748","Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2",39,"NPM1",877.8,1509.3,935.1,1059.1,1275.9,1245.7,1050.3,1016.7,1322.5,898.3,800.2,1031.1,706,1091.8,1444.1,1057.3
"415","P00568","Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3",49,"AK1",490.8,689.3,701.1,1390.6,1164.3,2082,468,1625.6,619.3,385.8,371.7,472.8,669.9,593.3,532.4,359.4
"416","Q04917","14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4",51,"YWHAH",282.3,341.5,279.2,355.4,528.1,505.9,251.4,593,268.3,230.4,137.4,251.4,230,283.4,293.5,220.9
"417","Q14247","Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2",33,"CTTN",312.2,330.2,210.3,342,382.4,488.4,256.3,343.6,276.7,260.1,199.5,290.3,181.6,298,343.8,270.7
"418","P30044","Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",22,"PRDX5",706.9,1123.2,1034.4,1086.8,1762.6,1042,813.5,1312.9,728.9,602.1,547,747.2,655.9,1030.1,911.9,804.9
"419","Q16531","DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1",40,"DDB1",240.2,342,296.6,468.5,444.9,665.4,271.2,525,304.3,190.4,135.3,248.2,241.7,288.4,306.4,193.2
"420","Q15084","Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1",34,"PDIA6",414,503.8,355.3,454.7,625.2,570.7,427.5,660.9,442,335.3,237.6,422.8,269.6,404.8,500,349.8
"421","O43852","Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2",26,"CALU",524.9,497.6,370,414.3,564.7,434.5,394.4,404.5,454.6,380.1,276.6,614.3,231.4,368.5,455.1,383
"422","P50502","Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2",41,"ST13",1113.1,1697.3,1458.7,2158.2,1846.7,2991.8,1141.5,2223.4,1505.2,984.8,922.1,1055.9,1151,1124.7,1166.6,854.2
"423","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",36,"LRPPRC",628.6,937.5,772.1,867.1,956.9,746.4,675.2,1007.2,972.9,310.4,524.4,601.8,434.6,777.3,680.2,482.5
"424","P54578","Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3",40,"USP14",463.4,595.1,495,896.9,859.1,1554.1,390,1161.6,476.2,321.4,290.6,394.4,489.5,459.5,450.7,283.1
"425","P51648","Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1",36,"ALDH3A2",609.4,899.1,796.8,1074,1359.9,759.3,769.8,892.6,696.7,637.4,446.4,731,631,758.9,889.3,567.9
"426","P00441","Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2",54,"SOD1",1209.5,1689.1,1612.1,2803.8,2602,3259.3,1150.1,3198.2,1651.8,986.5,926.3,1273.1,1331.6,1291.8,1499.1,990.4
"427","P09960","Leukotriene A-4 hydrolase OS=Homo sapiens OX=9606 GN=LTA4H PE=1 SV=2",32,"LTA4H",406.6,662.3,566.2,930.2,800.6,1235.6,398.7,1024.4,550.6,350.4,294.1,416.4,394.9,403.8,431.5,313.7
"428","Q14847","LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2",49,"LASP1",1422.5,1423.5,1183.9,1341.8,1552,1430.8,1193.3,1014.6,1221.2,1009.2,891.9,1401.5,749.9,1431.1,1831.2,1361
"429","P61019","Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1",31,"RAB2A",465.1,626.1,509.6,615.4,727.6,514.2,482.4,571.2,531,398.7,206,397.9,381.4,432,650.4,366.9
"430","P51572","B-cell receptor-associated protein 31 OS=Homo sapiens OX=9606 GN=BCAP31 PE=1 SV=3",55,"BCAP31",907.4,1573.5,1145.7,1176.6,1362.9,907.2,1213,1250.2,1414.5,918.5,854.4,1114,656.7,1094.6,1439.4,881.2
"431","P49588","Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",28,"AARS1",397.3,471.2,432.5,610.6,736.8,680.1,361.1,577.2,512.7,292.6,242.7,353.5,339.3,364.4,477.8,272.3
"432","P14384","Carboxypeptidase M OS=Homo sapiens OX=9606 GN=CPM PE=1 SV=2",32,"CPM",568.1,947.2,537.7,739,1299,912.6,792.3,841,707.3,315.3,317.7,558.1,678.5,600,1102.6,777.2
"433","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",26,"KRT2",269.2,133.4,611.6,198.8,154.7,438.2,349.2,112.2,69,57.5,102.2,175.6,2685.7,78.7,129.8,389.6
"434","P07814","Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5",26,"EPRS1",360.2,552.5,347.6,468.4,598.9,361,432.2,439.1,476,240.2,230.4,389,267.9,453.1,391.7,344.4
"435","P45974","Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2",31,"USP5",436.6,510.9,514.6,818.7,910.1,1258.7,399.3,947.3,469.2,302.7,245,350.5,477.1,406.9,422.7,291.7
"436","P39060","Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5",33,"COL18A1",807.8,1308,883.1,1019.9,879.8,743,966.2,985.8,768.3,524.2,816.4,1019.9,674.6,1090.5,734.8,764.3
"437","P11177","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",28,"PDHB",562.5,1594.8,1268.4,1038.9,1001.1,741,704.6,849.1,2200.1,672.7,911.9,833,440.6,934,717.6,726.7
"438","P07954","Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",24,"FH",410.3,500,550.2,644.4,714.8,663,417.2,709.2,783,366.8,417,391.4,306.4,525.7,432,358.2
"439","P52907","F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3",29,"CAPZA1",412.9,500.3,421.6,674.6,807.2,814.1,327.2,749.8,364.2,268.6,205.4,336.9,384.4,365.7,431.6,251.4
"440","Q96KP4","Cytosolic non-specific dipeptidase OS=Homo sapiens OX=9606 GN=CNDP2 PE=1 SV=2",29,"CNDP2",535.1,559.6,553.5,644.2,673.4,607.5,431.4,578.9,617.1,399.3,338.4,445.4,321.1,442.3,597.4,418.8
"441","Q08211","ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4",27,"DHX9",364.9,572.3,398.6,602.9,660.8,775.8,380.3,707.3,421.1,326.6,253.6,353.2,377.2,417.4,449.2,320.4
"442","Q9H0U4","Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1",30,"RAB1B",133.4,198.8,173.5,222,339.4,267.7,171.8,338,219.7,110,117.4,165,152.2,193.5,210,168.8
"443","P28289","Tropomodulin-1 OS=Homo sapiens OX=9606 GN=TMOD1 PE=1 SV=1",25,"TMOD1",244.8,271.6,220.5,565.9,418.3,1091.7,217.9,774.2,277.1,169.3,162.5,184.7,281.9,213.1,241.6,155
"444","Q15366","Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1",30,"PCBP2",82.1,110.7,85,107.8,122.7,102.5,85.1,100.4,120,62.7,61.8,86.7,60.5,100.4,98.7,79.7
"445","P04196","Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1",31,"HRG",187.7,531.7,396.7,924.4,545.1,726.6,231.9,643.7,1044.2,429.4,324.5,285.1,336.4,353.1,565.4,233.5
"446","P62191","26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1",28,"PSMC1",419.3,540.1,451.1,672.8,726.8,707.6,388.9,593.9,530.8,312.4,260.2,388.2,386.2,398.3,416.5,270.3
"447","P08754","Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3",27,"GNAI3",24.2,48.9,29.9,36.3,38,24.9,20.4,42.3,49.1,21.3,18.1,28.6,23.6,29.8,34,37.5
"448","P35613","Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2",32,"BSG",544.1,1161.4,760.7,825.9,936.6,589.1,708.6,937.7,1045.6,502.5,577.4,716.3,420.4,743.2,687.8,615.3
"449","O75390","Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2",58,"CS",1503.1,3073.1,2443,2417.1,2389.4,1994.3,1388.6,2277,3712.8,1623.8,1661.8,1582.3,1170.3,2198.9,1872.7,1493.5
"450","Q00013","55 kDa erythrocyte membrane protein OS=Homo sapiens OX=9606 GN=MPP1 PE=1 SV=2",24,"MPP1",241,215.3,165.8,509.3,379.4,1161,164.4,755.1,255.5,137.3,127.1,152.8,341.2,176.1,204.7,85.2
"451","Q15847","Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1",53,"ADIRF",2383.8,3760.9,3638.2,3347.8,5154.8,2808.2,1950.6,2164.4,3546.2,1853.9,1869.2,3020.6,1314,3081.3,3264.4,2294.3
"452","P35612","Beta-adducin OS=Homo sapiens OX=9606 GN=ADD2 PE=1 SV=3",36,"ADD2",348.4,397.7,303.5,835.1,712.9,1860.9,266.4,1382.1,418.4,238,213.8,238.3,419,288.3,303.9,156.2
"453","P62070","Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1",29,"RRAS2",138.1,187.3,140.8,171.1,206.8,126.4,166.4,146.5,126.6,101.2,79.9,136.9,118.3,121.8,172.7,126.8
"454","P10301","Ras-related protein R-Ras OS=Homo sapiens OX=9606 GN=RRAS PE=1 SV=1",37,"RRAS",696.9,1128.5,819.8,893.7,962.2,718.4,688.3,852,749.7,568,428.9,709.6,496.3,603.1,835.8,632.3
"455","P62873","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3",36,"GNB1",74.5,155.2,105.1,104.2,103,56.8,101.7,116.2,110.5,73.1,62.2,92,58.4,84,120.4,101.1
"456","P31948","Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1",38,"STIP1",543.3,721.2,642.9,907.6,891.5,1371.5,528.5,1093.6,724.2,376,388.9,502.8,477.2,553.5,566.4,423.6
"457","Q562R1","Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2",182,"ACTBL2",125.5,142.9,130.7,158.5,206.9,232.9,112.4,210.1,100.8,96.9,59,105.3,144.8,117.6,138.1,84.9
"458","P02748","Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2",24,"C9",329,496.5,245.1,667.1,664.7,535.4,92.9,464.8,380.4,307.6,155.3,228.1,79.5,227.4,269.5,182.8
"459","P04003","C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2",31,"C4BPA",444.2,453.2,387.5,730.7,876.8,1030.7,415.9,1072.2,586.8,468.7,226.3,504.6,695.4,409.1,721.8,307.8
"460","P49411","Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=3",34,"TUFM",777.9,1254.6,990.2,1069,1205.5,760.1,842,957.3,1350.2,741.2,720.1,829.8,487.4,836.5,997,669.4
"461","P06702","Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1",40,"S100A9",776.2,495.4,529.7,561.3,1746.9,2334,480.5,4844.6,515.3,581.8,259.7,706,668.7,412.3,343.8,182.5
"462","P47755","F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3",21,"CAPZA2",194.2,323.1,254.6,368.1,521.4,436.1,190.7,386.1,222.5,187.2,114.3,187.2,212.5,256.4,283.5,141.9
"463","P23229","Integrin alpha-6 OS=Homo sapiens OX=9606 GN=ITGA6 PE=1 SV=5",26,"ITGA6",624.4,916.9,822,863,809.8,1086.8,598.1,1350.3,526.2,565.2,487.4,538.8,506.4,750.5,600.6,501.2
"464","P09493","Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2",54,"TPM1",935.4,1130.9,899.2,1509,1669.4,2013.1,1174.5,2243.5,1337.2,816,820.9,1088.7,848.1,1178.7,1327.3,969.7
"465","Q14699","Raftlin OS=Homo sapiens OX=9606 GN=RFTN1 PE=1 SV=4",23,"RFTN1",348.1,578.4,357.3,370.8,506.3,337.8,314.3,444.9,504,325.1,347.8,415.5,253.7,341,400.2,346.6
"466","P11233","Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1",25,"RALA",518.8,916,606.5,858.8,843.4,676.9,646.9,772.8,790.5,463.6,441,614,407.6,604.5,644.2,628.2
"467","Q02818","Nucleobindin-1 OS=Homo sapiens OX=9606 GN=NUCB1 PE=1 SV=4",21,"NUCB1",105.5,167.6,118.7,145.8,184.4,166,123.5,187.1,155.6,96.3,85.6,141.3,80.6,125,148.1,86.6
"468","P24844","Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4",38,"MYL9",331.7,416.9,326,428.5,539,593.4,366.5,510.3,457.1,260.2,187.7,330.6,271.2,373.1,399,261.6
"469","Q9NSE4","Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",29,"IARS2",503.4,898.4,656.5,759.7,898.4,622.8,607.8,714.2,929.9,466.1,478.4,549.6,357.8,654.5,647.5,489.3
"470","P02765","Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2",57,"AHSG",1587,2367.3,3104.9,4957.4,4163.8,3046.6,1878.4,3778.7,2128.7,1757.9,1191.3,1470.4,1710.6,1599.9,1743.8,1144.9
"471","P12429","Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3",36,"ANXA3",343.2,1074.9,478.6,501.6,740.2,559.4,475.5,1174.4,407.4,476.5,292.5,225.6,379.7,418.8,479.5,257.8
"472","P60660","Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2",45,"MYL6",1400.1,1606.1,1326,1606.6,2193,2035.7,1309.4,1933.6,1800.7,1015.5,912.8,1338.7,952.8,1532,1591.7,1092.6
"473","P10412","Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2",46,"H1-4",74.7,141.9,99.5,137.8,186.9,181.9,137.6,143.5,173.8,74.8,98.5,122.6,82.4,157.9,157.8,142.8
"474","P05387","60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1",26,"RPLP2",455,759.7,543,669.9,784.4,841.2,541.4,746.1,708.2,424.4,387.4,520,409,546.5,630.2,446.8
"475","P20073","Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3",35,"ANXA7",420.8,509.8,400.9,658.5,713.5,908.5,386.9,851.6,391.4,299.5,226.9,330.2,363.1,388.6,440.5,294.7
